Sku,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,unit cost,lead-time,retail_price,quantity_on_hand
KR202-1435,3345,1007,1373,2392,3933,3577,1683,1979,2475,3877,843,3118,1537,2,10961,2251
KR202-1436,925,1892,2020,1143,3979,1153,1735,3016,1561,3350,1972,1164,1060,2,3863,514
KR202-1437,823,2722,1974,3030,3169,1585,3063,2336,1117,575,1728,1601,786,5,11878,1550
KR202-1438,1682,3441,3001,3712,1432,3376,2137,1027,3876,2595,2020,2404,1963,5,6736,1329
KR202-1439,2706,753,592,3384,797,1577,2221,3991,3627,1359,996,848,1403,2,11727,849
KR202-1440,3684,665,3879,1780,1448,683,1796,1557,546,3232,3733,1875,506,2,9392,1311
KR202-1441,3598,547,2277,3931,3914,3150,3106,1780,3893,2585,2929,1807,1746,3,14886,1375
KR202-1442,565,1644,3883,1156,3715,1954,645,2707,3925,2815,3094,3242,1254,3,2066,1629
KR202-1443,3953,1578,1320,740,3488,3774,673,1275,1546,2878,1718,1358,1947,3,12873,992
KR202-1444,3376,2630,2605,950,2502,1746,3177,3869,2890,2622,3182,2047,1135,4,1424,1541
KR202-1445,2893,2550,985,2348,2423,2181,748,3844,1702,1159,1701,3834,1885,3,11002,838
KR202-1446,2011,2481,609,1611,716,3458,1525,1944,1107,3633,867,2204,1844,5,2980,675
KR202-1447,2353,2270,2948,3697,2114,3673,1795,501,3574,1936,1474,2970,1744,5,6722,1070
KR202-1448,1275,3026,2234,688,3646,2755,524,1472,656,1474,2587,3911,1260,2,12558,1583
KR202-1449,3509,2254,3122,1444,3979,1682,2366,2969,2396,2170,2304,2115,1141,1,12961,649
KR202-1450,2167,1521,1248,825,1245,3223,760,3657,1440,1395,3416,1291,971,5,14524,579
KR202-1451,3613,1285,2854,1966,1454,3196,2709,1762,2152,1362,1844,1397,1067,5,9352,1674
KR202-1452,1650,1250,3158,1135,3313,3289,1936,2041,516,1673,881,912,1929,2,3799,1730
KR202-1453,2038,2775,2772,2569,1442,3471,3687,561,1114,1251,540,1129,1479,4,11016,488
KR202-1454,1839,2321,1470,2411,2861,3650,2194,1560,3373,3631,3127,1890,1592,5,2562,621
KR202-1455,2253,1771,965,2563,3424,651,3441,2890,2753,1694,2701,2070,1195,5,3759,1975
KR202-1456,892,2015,2293,1054,1947,3427,1984,1938,689,3963,3321,3890,992,4,1992,1667
KR202-1457,3951,1049,2188,3315,3970,640,2676,3741,3081,3712,980,3279,968,4,10958,696
KR202-1458,3996,984,2690,1016,2355,1633,3913,3023,1242,1455,2997,2122,1364,2,10612,751
KR202-1459,2299,2498,2183,635,1118,2671,3434,3483,2715,3574,966,1111,927,3,2392,1736
KR202-1460,1787,3187,2265,2709,894,3627,527,2155,1312,3512,849,3982,1789,1,3523,1264
KR202-1461,3369,2898,847,1447,2193,2192,1685,3029,1699,1647,3794,3446,1422,2,9248,959
KR202-1462,1860,2177,3996,3535,3594,3595,654,3767,3210,1370,2980,1241,1102,4,9843,957
KR202-1463,1351,635,3202,882,1679,2525,3721,2975,3151,2936,1582,1781,1390,1,5210,610
KR202-1464,3008,552,3142,1572,3769,2482,3309,1722,868,1348,2625,3513,628,3,11994,895
KR202-1465,3615,2581,1077,2606,3267,1675,3651,2209,568,2503,2717,2415,664,3,7247,868
KR202-1466,3489,3733,2579,3943,2724,2905,2538,2298,828,3751,2367,1646,1097,4,10629,1558
KR202-1467,3123,1943,3530,2325,3810,3960,2874,1520,3667,2981,3344,3932,1565,2,4480,2311
KR202-1468,3474,2992,943,594,3817,2242,1906,3426,1696,2829,705,561,692,2,12007,1304
KR202-1469,1161,2825,2820,2125,1989,2499,3067,1377,3750,2141,2378,1534,727,5,4988,823
KR202-1470,3437,2213,804,1796,2799,2544,3066,1313,1218,3715,1701,1788,1822,4,13543,2100
KR202-1471,1859,2791,3141,1366,1256,584,1689,3263,1093,1230,3843,628,1833,4,6722,1443
KR202-1472,3367,3141,819,2741,1943,2989,2216,1635,1587,3394,3459,787,854,5,7366,1616
KR202-1473,906,3245,1744,2859,2529,2848,2915,527,3954,2656,2389,3332,1209,1,10284,2343
KR202-1474,3127,2373,3063,788,2144,2563,624,1102,888,3562,3326,2481,1071,1,4885,2256
KR202-1475,955,1870,1374,2793,3069,752,939,2207,3580,3467,799,1371,919,2,4917,1198
KR202-1476,834,1124,2530,2838,3429,2811,3239,2292,1406,1792,1779,2545,935,1,8172,1394
KR202-1477,2851,3181,3056,1730,3299,2764,3419,1278,3679,1679,638,625,912,1,4148,1288
KR202-1478,1069,3822,2556,2711,2685,1778,2487,2638,929,1830,2131,2198,588,2,14561,1697
KR202-1479,2988,1918,1818,901,3891,2956,679,3658,946,884,3110,3792,1387,1,9897,507
KR202-1480,2913,1539,3443,1353,1208,3463,1195,3232,3887,3224,2817,1847,811,5,5068,789
KR202-1481,1001,852,2676,651,1963,3502,3586,2465,1294,2715,1858,3469,820,3,10133,1269
KR202-1482,1614,2802,1140,3161,1742,2083,1733,2383,3273,2997,2188,1812,1867,3,6863,1303
KR202-1483,2634,811,887,2706,870,1201,3311,3227,2491,1219,2011,987,1761,5,2959,1078
KR202-1484,1544,1816,813,2233,1953,2088,3675,1419,3795,3142,2385,2229,1517,2,4675,1064
KR202-1485,2453,1061,593,1052,2179,1451,1539,830,3287,1536,3688,1778,1668,3,12905,578
KR202-1486,2394,984,891,1624,2002,1634,2703,3803,556,1173,2555,600,596,2,3023,1637
KR202-1487,3459,956,2769,541,1506,2414,3355,732,2881,948,2318,1827,833,2,9130,2022
KR202-1488,3613,2608,2532,3691,2927,648,3741,1168,3378,531,1259,1962,980,1,4493,1787
KR202-1489,1245,1237,2731,2452,3332,741,2641,3143,3313,3832,1476,2327,1927,5,11224,598
KR202-1490,3001,1624,3987,3602,3156,944,3436,798,1955,915,930,1293,717,3,1068,2192
KR202-1491,1842,3963,1038,3879,1908,3025,1550,2600,1082,1369,3191,3663,1596,1,7846,2330
KR202-1492,858,2812,2128,2638,2092,3976,3776,658,3242,1562,1356,3180,1650,3,4970,2277
KR202-1493,1905,3184,2970,1765,3542,2348,2455,2215,1449,1758,2924,668,1823,4,11881,2247
KR202-1494,2523,2651,2944,2990,3606,3845,3754,3945,1091,3994,3440,1720,546,3,2375,2652
KR202-1495,3184,2394,723,3502,1475,2498,3550,2786,3224,2235,1778,2121,1914,4,6428,2691
KR202-1496,3422,3177,2514,1445,1089,1681,1944,1838,1140,3375,3567,1020,1971,4,8544,1338
KR202-1497,3335,3323,734,1424,811,2464,2701,1006,3840,2504,592,2859,956,3,6200,2224
KR202-1498,807,3003,2835,3735,3659,1071,2413,2397,2865,1456,2740,2676,759,1,10027,1467
KR202-1499,3584,2316,542,1942,2684,725,1401,2784,715,3946,1297,1755,1125,3,11988,1469
KR202-1500,3690,790,1161,2023,1734,3792,816,2355,826,3876,1199,3123,1354,1,8386,1900
KR202-1501,2803,3575,665,2676,3859,2200,1113,1925,864,3442,1192,1925,1208,2,8296,1480
KR202-1502,1326,2374,1735,3576,2523,3756,3259,2999,2383,3356,1143,1042,657,3,11957,1268
KR202-1503,753,795,2528,3904,731,3784,1317,1417,2589,3683,1813,2532,1274,1,6518,730
KR202-1504,3707,2908,1619,1336,3504,2879,2178,3285,3594,2115,2934,3749,1758,2,3030,875
KR202-1505,560,3599,1626,587,955,2140,2064,3096,1954,940,575,3915,1563,2,5247,1818
KR202-1506,544,3401,1920,961,3157,2479,3941,1153,536,3235,1652,3491,732,3,5145,681
KR202-1507,2243,1688,754,3012,3638,1652,1302,631,1387,3940,3640,1603,1821,3,11508,1233
KR202-1508,2525,2295,1408,2060,2408,1153,3456,3474,2143,3551,2971,3007,618,3,10531,1171
KR202-1509,1247,2330,3046,3543,1230,3197,3042,2903,2723,2635,3347,717,1159,5,1888,1895
KR202-1510,2796,1162,598,2197,2995,1431,1673,3167,2912,3934,2227,2531,603,4,6219,1987
KR202-1511,1934,1286,1146,1501,1475,3383,3745,2515,3652,1088,610,1352,921,4,13977,1035
KR202-1512,2330,1208,1035,3273,1988,3247,3290,1193,3517,3299,1339,1074,1943,5,6034,1892
KR202-1513,3951,3267,3273,3272,646,2814,2682,2274,1871,1314,623,1002,1560,3,7638,2343
KR202-1514,800,2017,2523,3625,2720,1873,1624,1997,1949,1730,2275,3452,1093,2,1422,1637
KR202-1515,944,2180,3432,3320,925,3613,2630,2110,1758,560,2459,3655,1846,4,14883,1365
KR202-1516,2341,2951,3881,3890,3940,2115,3377,1774,1786,3255,1165,1444,1123,1,1742,2079
KR202-1517,2802,2563,3984,2596,1709,1688,3738,1485,2543,2972,1595,3461,782,2,8789,1114
KR202-1518,2613,580,1319,1892,3308,695,2054,1631,2775,2920,3917,3371,1657,4,7061,907
KR202-1519,3197,1268,2890,3737,681,3971,2806,2769,2204,1330,3122,3028,1851,1,5168,2326
KR202-1520,3985,1771,638,1865,1192,610,1189,1370,3078,3969,2512,1480,844,2,13901,1443
KR202-1521,995,986,1459,3859,2398,3760,1644,3319,948,3632,2245,3593,1897,4,4680,988
KR202-1522,1641,2778,2482,1228,3101,1780,3688,1239,837,2227,1331,3768,1252,4,6598,2147
KR202-1523,950,2673,3591,1170,2182,1514,3995,2447,742,1386,2342,3280,1306,5,5003,585
KR202-1524,3717,1530,946,1349,829,1691,3145,2134,1378,3579,3853,2582,504,1,12760,817
KR202-1525,3870,3717,3591,1185,2732,2847,3106,1971,3406,1599,2520,3733,1904,1,2151,3122
KR202-1526,1433,2055,2834,1114,3193,3261,3484,2544,1681,954,3164,2540,1254,3,12268,1063
KR202-1527,3253,3155,3682,2628,695,3297,2411,3454,2586,1537,2329,1162,1715,5,3974,1432
KR202-1528,2263,3261,3820,2087,2127,2977,2633,1302,1140,2510,2238,2588,1751,1,7155,904
KR202-1529,3934,2026,818,1849,555,950,2420,3014,3015,2527,3543,2395,809,2,8246,846
KR202-1530,3707,2871,2144,1761,2493,3373,3173,2165,2597,1438,1692,2373,1970,1,13481,2280
KR202-1531,564,1321,2759,2422,1868,1244,2210,3949,3244,2863,3020,1466,1027,3,1459,1357
KR202-1532,1211,3676,3889,1691,2301,2602,806,3374,3041,2108,2293,1435,1817,1,7613,1336
KR202-1533,2544,923,2655,1758,686,2214,2005,2118,3732,3197,3536,1301,1685,3,7819,1548
KR202-1534,3969,3697,1952,2563,3995,643,2629,925,896,3261,3471,1201,834,3,9715,928
KR202-1535,3024,3863,1776,1438,3273,1310,2239,2122,531,2689,1621,2546,698,1,14735,1016
KR202-1536,2770,1518,3280,3015,2780,3727,3179,3686,2193,3197,3697,1238,873,1,14292,2616
KR202-1537,2396,1238,870,2130,3559,1059,676,2256,3319,3229,1386,1050,937,3,13618,1726
KR202-1538,872,782,2873,1173,3780,867,3515,2356,1951,3726,3599,1139,1469,3,2329,512
KR202-1539,1135,2260,3810,3638,1387,1719,2777,656,3466,869,2276,3773,1023,1,3926,1286
KR202-1540,1437,3875,2613,2601,3525,646,938,883,3317,3735,2822,1547,1273,3,13439,984
KR202-1541,1359,2553,2504,3855,3233,3075,3545,2783,1002,2238,1527,3579,542,4,11015,1337
KR202-1542,3984,517,2172,3214,2933,2014,3891,3101,1410,1729,600,2224,1669,1,7125,1012
KR202-1543,1510,964,2245,3269,2803,2424,3341,2443,1046,1240,1931,2562,1107,1,7545,1535
KR202-1544,928,2256,1621,2951,1288,887,2333,2561,2379,3454,782,580,1786,5,11679,1304
KR202-1545,2032,975,2832,2422,2313,3705,1817,2911,4000,1909,2212,2783,989,3,6912,1246
KR202-1546,3595,2234,1616,1382,2336,2217,3052,2159,2019,938,3485,3342,1998,3,9022,1567
KR202-1547,3975,3866,2482,1698,3113,3801,2249,3319,3436,1228,2094,2186,1556,2,12948,3006
KR202-1548,3972,625,1497,1841,2954,2112,3515,3753,3137,2489,3481,2404,679,5,4765,1147
KR202-1549,2150,1774,2907,641,3439,3016,631,3538,876,2015,2350,3064,1162,2,11719,1942
KR202-1550,3217,3390,3345,2808,690,2239,1688,3035,2866,3924,973,2994,1326,2,5888,1299
KR202-1551,1784,3213,1603,2841,3562,2758,2997,1706,3006,1426,2998,1376,1566,3,13601,1226
KR202-1552,1009,1286,1211,2749,1031,2285,3085,3875,914,3944,3573,576,525,4,2766,2204
KR202-1553,1712,1717,528,1689,1040,1928,2195,2241,3952,2514,1064,3834,1071,1,9023,562
KR202-1554,1289,1280,1558,1411,3819,3226,2524,987,1510,784,886,3095,591,3,8173,832
KR202-1555,647,2518,3105,1121,3898,1187,3776,1607,1263,3238,1358,3892,1687,2,5321,2088
KR202-1556,2351,3425,3119,1086,2080,788,3122,770,2930,1363,3072,3174,1980,2,13521,2079
KR202-1557,1165,3746,3664,3358,2026,1794,2237,2071,3201,1725,3154,2116,1392,4,3878,1499
KR202-1558,1921,962,3429,1191,3915,1870,3968,1324,1305,1337,2194,3323,1914,5,12445,1078
KR202-1559,579,1748,649,2908,3137,2756,2290,1459,1319,1333,2982,2046,1488,2,14780,1532
KR202-1560,3654,1902,1653,2019,1401,3890,633,1980,1437,2605,1486,1216,1332,1,5197,1790
KR202-1561,2248,2962,1639,2444,1333,3205,2134,1083,1291,3987,1083,2878,1582,2,3119,1321
KR202-1562,3641,3485,2045,1323,1202,2327,1803,1897,2220,3447,1710,3038,1239,5,14478,1406
KR202-1563,2924,3688,1766,665,1203,1122,2095,2600,2969,1249,3730,2221,948,1,10966,2192
KR202-1564,2792,1429,2935,3605,850,1512,546,2493,539,2604,1274,3554,594,3,13355,705
KR202-1565,3985,3930,3429,1580,2353,3118,2458,1846,805,3924,3540,3339,621,3,5693,663
KR202-1566,2917,3201,1108,517,2937,2448,3156,1307,2557,3399,1825,2159,578,1,1844,1325
KR202-1567,2692,3306,3884,3525,1155,953,1881,2475,3259,1494,3766,1339,1642,4,1847,867
KR202-1568,1020,2224,725,2280,2854,1338,2180,1128,729,3155,3731,1215,949,1,4481,1314
KR202-1569,2060,3571,3673,1417,2626,2475,672,1578,1472,3312,951,2459,1589,2,5575,1581
KR202-1570,2694,1623,973,2547,2231,1014,1641,2801,3023,2786,1587,3966,1018,1,2395,1715
KR202-1571,1075,1161,2896,3044,1385,522,1206,1610,2237,1734,1339,2945,1407,3,12970,660
KR202-1572,3647,2266,1893,2526,793,1668,2055,3117,1837,3232,3527,2616,911,3,3419,1784
KR202-1573,1609,3869,1986,1507,2296,2511,2614,3239,3541,1784,3078,2930,859,2,6745,1959
KR202-1574,2042,752,3658,3934,1691,703,3238,1726,2534,3408,2526,2236,764,4,8500,623
KR202-1575,2075,3551,2817,2405,3065,2119,3507,2608,2078,1920,3665,2488,1497,3,4054,2663
KR202-1576,2968,3965,913,3504,645,1924,540,1463,2026,2327,1102,3236,1188,2,14131,1967
KR202-1577,2754,2418,551,3520,2139,2496,3192,2481,3417,918,2741,682,1791,3,6996,466
KR202-1578,1688,956,1699,1819,537,2721,1634,3848,3878,3423,2836,799,745,3,7346,1461
KR202-1579,3870,2945,924,3792,1020,2180,844,3625,2744,2531,1856,1012,1724,4,6370,1036
KR202-1580,641,527,1181,3516,3714,1467,2229,1672,2123,1476,1330,967,1769,1,12873,1559
KR202-1581,2807,2346,1184,2598,1131,1572,517,2263,2839,3690,1898,2277,1082,4,8098,1803
KR202-1582,703,1377,1096,2532,2065,2695,3962,3249,2613,1014,1329,2297,1585,4,13116,1186
KR202-1583,1668,2184,1749,2917,733,3738,3509,3097,626,3803,702,958,1668,2,4479,640
KR202-1584,2832,2561,937,948,884,3618,1726,2600,2189,3076,1535,1992,1148,4,5135,2149
KR202-1585,2783,3102,3450,2340,2003,832,1789,2958,2323,2344,2771,1818,661,2,14888,1029
KR202-1586,924,2532,599,1186,3078,1009,1819,766,2954,3585,3673,2250,948,3,14104,746
KR202-1587,3146,637,637,3577,1509,1772,1366,2062,2248,2809,2258,2237,639,1,3802,1632
KR202-1588,2417,3828,1841,928,3656,2738,3602,1445,1992,2960,3506,1660,1787,3,13851,1249
KR202-1589,3512,2946,2067,2216,660,2457,1225,2102,3361,3685,2472,3939,1853,3,4097,867
KR202-1590,3295,2685,2993,1683,1551,3959,3054,2042,1690,3219,2422,3785,795,4,8380,923
KR202-1591,2625,2759,1165,1044,3854,2627,3547,3878,867,3723,2365,1327,1195,3,5263,1271
KR202-1592,536,2723,1303,1328,2549,3431,1767,3862,926,3497,1970,746,1254,4,13272,2196
KR202-1593,3619,2468,2907,2438,1733,3982,2446,2794,1338,614,3981,3551,1853,2,7892,909
KR202-1594,3581,2865,941,3890,2219,2783,3254,3441,1689,876,1113,1310,1307,5,9988,997
KR202-1595,641,2200,2484,2818,3177,3670,1024,2862,794,2182,2161,3853,659,1,1775,2199
KR202-1596,559,3831,3081,3236,1641,2918,3137,3859,1181,1371,2453,3957,1193,2,2691,1711
KR202-1597,1146,3984,2953,1842,1962,1216,1913,954,1492,995,3349,500,1337,4,12960,588
KR202-1598,3077,587,1109,1347,840,3897,1986,739,1493,3363,3501,3866,1835,2,11221,1032
KR202-1599,2535,1097,3485,1210,3664,666,3041,3193,2112,1074,3274,1947,701,4,1590,2237
KR202-1600,3712,2786,2580,1128,3773,3672,2209,3592,967,883,1039,2297,1249,5,13056,2310
KR202-1601,2974,2348,1478,3906,3808,2099,1656,3001,2694,2445,3693,1058,979,2,9216,2365
KR202-1602,1340,1961,1550,1088,1239,1982,918,647,2861,2807,2600,3517,510,4,13382,1168
KR202-1603,1323,2873,2643,3437,1080,1870,3573,2498,2196,3097,3210,1772,1159,2,2476,2174
KR202-1604,1108,1505,3705,3307,2967,1815,1617,3788,981,1916,1326,1551,750,1,12588,1544
KR202-1605,3302,1079,2959,2311,3630,3173,1249,3853,3204,601,1124,3269,1455,1,9396,1125
KR202-1606,2383,3258,3198,621,1381,647,902,2205,2987,3352,644,2720,1516,2,6131,534
KR202-1607,3891,1464,2622,1293,2874,3237,2253,928,2613,686,2808,3965,1364,3,14772,1714
KR202-1608,1824,990,969,1145,2611,3268,1100,3383,3972,1077,1737,1383,1012,5,11334,1004
KR202-1609,2075,3185,3863,2807,3535,1592,2821,3828,1288,729,2891,2132,1236,1,9432,2727
KR202-1610,671,3178,958,2193,2367,939,3332,2219,3914,2966,1599,1017,1478,1,9398,1688
KR202-1611,856,2361,2783,1132,3850,3014,674,2836,2873,1151,2680,1862,1711,2,13657,671
KR202-1612,2924,1498,1061,815,2167,3257,2935,1736,1128,1312,1595,2119,615,4,7376,814
KR202-1613,2889,1775,3252,3520,2924,2063,2420,862,3769,3620,693,675,631,2,4972,1012
KR202-1614,895,3103,740,1342,3895,1793,2946,1713,3592,2753,1903,2911,1628,3,11862,1606
KR202-1615,707,3234,1987,1762,816,2020,2195,1521,3224,3928,3031,1045,1291,5,12431,1709
KR202-1616,3852,729,1232,1118,1803,1770,3071,2188,1044,2649,1474,2066,1660,5,8652,1152
KR202-1617,3054,3902,1025,2544,1810,3943,1924,3189,3032,1322,1049,2070,1939,1,12833,1510
KR202-1618,529,3020,3900,3690,3543,3347,815,791,2807,3190,1885,1424,568,4,2474,1522
KR202-1619,2500,3617,1972,1698,3458,3459,1508,3583,1544,2605,2906,2757,672,1,7588,861
KR202-1620,2069,552,3961,2488,3408,3520,3327,1749,1698,2486,1330,3993,1343,5,10569,2169
KR202-1621,782,3876,3097,2305,3376,3527,2425,2029,3576,2564,3969,1831,1889,3,11026,2256
KR202-1622,3793,2833,2564,2634,3473,3107,1734,3971,1436,1524,1756,866,1533,1,3277,2689
KR202-1623,857,1284,2844,3782,1301,3298,3247,3155,3108,3492,694,3209,1472,3,5124,886
KR202-1624,2614,3943,2446,3746,2957,3845,816,2455,2493,3620,3553,903,1714,4,7276,1807
KR202-1625,1422,1667,1260,2825,2289,2882,1412,2503,585,3653,3787,1931,928,3,14795,2125
KR202-1626,2493,2219,1051,677,3295,3805,874,2040,1621,2272,824,1019,1896,5,11309,1435
KR202-1627,2050,852,1877,1816,3697,1063,3831,620,1224,3611,2265,1482,877,5,8222,1777
KR202-1628,689,1197,2000,3354,3675,3847,2447,3764,3394,604,2535,945,556,3,4251,579
KR202-1629,1008,586,1469,3925,3052,1900,1771,1015,850,2448,3759,648,839,4,6180,478
KR202-1630,2376,3368,1681,2262,1831,2409,3340,2487,2671,2435,3521,1215,1931,2,5404,2349
KR202-1631,1219,2595,3822,3771,2384,1754,3866,2881,3676,3720,2695,763,1369,3,3097,2154
KR202-1632,2824,1325,2785,3758,1468,1887,841,2887,3277,979,3787,683,1881,3,6435,861
KR202-1633,3758,1126,2161,3072,1129,2017,2065,2511,1032,1193,1218,1743,1683,4,10751,1580
KR202-1634,2084,2267,3157,1009,2600,3770,1649,2275,2988,2157,1858,2203,544,5,1130,1462
KR202-1635,2825,1151,2294,2444,553,672,594,689,1394,1322,1463,3151,566,3,8317,948
KR202-1636,2353,3383,3955,2442,2752,2188,3562,2546,1039,2053,3485,961,617,5,8168,1617
KR202-1637,1511,2716,2776,2241,2074,936,2431,3615,2968,3175,1529,1324,1735,4,7423,1039
KR202-1638,1680,1219,1387,1781,3007,1150,2127,574,903,2619,2893,2146,945,4,3419,1514
KR202-1639,3322,3946,3868,1976,891,3887,2036,1077,2669,3745,1573,2662,1670,3,6432,2187
KR202-1640,3956,1971,1183,585,3495,556,1794,2186,2751,2503,2447,651,1629,5,7728,1813
KR202-1641,1220,3516,2154,2563,1840,1059,679,2715,3258,3579,3871,3018,926,4,9598,2609
KR202-1642,1825,3632,3637,3806,2413,2030,2604,533,3973,1548,1290,569,1292,3,14678,1641
KR202-1643,3374,2422,1582,2839,3688,1333,3117,3970,3078,1980,737,552,1607,3,1875,2145
KR202-1644,932,963,2168,754,2523,3975,2684,3507,2503,2339,2581,779,1626,2,3726,491
KR202-1645,947,3610,2082,2623,3670,3769,924,3749,2925,3366,2991,3533,1246,2,2877,1802
KR202-1646,1188,3858,2374,1617,2313,2330,1881,822,689,2196,2749,1248,1627,5,8804,1894
KR202-1647,2720,2889,3999,913,1189,2074,2800,1369,1627,2964,618,2367,1703,1,2752,916
KR202-1648,1750,1330,3562,1671,3224,3986,3474,1054,1707,2149,518,1026,1952,5,7893,734
KR202-1649,578,3000,3394,1547,3692,3129,558,3235,2017,1641,1860,653,1636,2,12005,538
KR202-1650,764,3391,1668,2550,1789,1905,2713,2584,2977,3418,1614,2941,1387,1,13241,1394
KR202-1651,681,3361,3715,2508,2294,3857,1152,767,3000,3595,2646,3382,1438,4,11148,1664
KR202-1652,3028,3790,2381,3411,1631,3633,817,1332,1593,1020,2182,2820,915,1,2745,2316
KR202-1653,2829,1334,3369,2034,3665,1428,1886,1304,2534,723,1530,916,1376,3,14672,1556
KR202-1654,1893,2725,510,1389,3843,2765,2029,2922,2463,1807,2052,1696,727,3,8183,461
KR202-1655,1009,654,2358,2465,2802,654,3606,767,3660,1054,983,1105,1456,2,7547,617
KR202-1656,2029,2397,1669,1582,3015,1828,746,3467,1448,2040,2791,2140,530,1,8575,980
KR202-1657,2857,3957,3381,2145,3180,2277,576,1943,2160,3753,3514,626,1380,4,14185,781
KR202-1658,3647,3650,2781,619,2157,2861,1232,2835,2969,3442,1899,1671,1656,5,4958,2715
KR202-1659,546,1477,1480,594,2498,3794,3494,1047,3124,2256,3292,3734,759,2,10253,2099
KR202-1660,3880,2958,2651,3177,2440,2277,3846,1357,1636,3104,3431,3499,1401,5,2791,882
KR202-1661,2002,1145,2659,1350,1230,3250,2416,2327,2809,1171,2824,1131,1535,4,10047,2146
KR202-1662,2246,2615,2869,3961,2967,2944,1106,3196,1630,1858,2102,3342,1709,1,12887,752
KR202-1663,2879,2874,2702,1881,3252,3238,1336,3237,782,657,504,2122,515,5,8881,2039
KR202-1664,1296,3217,3281,1066,508,1081,1418,2707,2660,1157,1120,3323,1627,3,13789,955
KR202-1665,3802,2439,3419,1044,3034,2270,2158,3180,859,2474,1301,3185,1418,4,13287,1989
KR202-1666,2611,1884,1533,2746,3193,3423,1934,1362,3233,814,665,1203,719,3,3858,1437
KR202-1667,1430,2690,2442,3547,2077,915,3043,926,2613,534,556,3999,1077,3,5051,1281
KR202-1668,522,1363,2255,2472,632,1401,2466,2659,1170,969,2374,2832,1234,2,4261,1449
KR202-1669,2281,804,3630,1394,1036,3653,1255,3804,1423,2396,3154,2715,1495,4,1925,1992
KR202-1670,3713,2943,1179,1179,570,1558,1870,2193,775,1619,1019,1839,1610,2,2033,1481
KR202-1671,2914,2740,3268,1342,2874,823,3447,1527,3278,1369,881,1587,997,5,3808,1833
KR202-1672,2967,3374,3161,3587,1947,2271,783,3564,3058,2730,3094,3376,625,2,4841,3046
KR202-1673,734,2885,1956,3278,1197,3479,2813,3699,3479,3459,2580,773,953,5,5512,2508
KR202-1674,1536,2140,1020,3665,2902,2361,2899,3008,1793,2850,668,3217,1238,2,13925,1291
KR202-1675,2609,3721,3374,762,796,2923,3671,2668,886,2574,1576,1181,1024,1,12099,1607
KR202-1676,1506,3029,512,518,3548,3424,3231,2231,679,3599,646,3275,853,4,12162,1866
KR202-1677,947,1084,1564,1302,3809,2618,3332,3113,2518,3003,3063,2505,1199,4,8061,1326
KR202-1678,986,3815,3805,1078,726,3441,3438,784,742,3016,544,3504,1160,2,1538,911
KR202-1679,631,1076,3590,1642,3542,2875,902,3617,2405,2533,1847,3091,1982,2,6435,2055
KR202-1680,1633,1895,526,1660,3112,3124,1349,808,3078,2621,653,1825,1934,5,7003,728
KR202-1681,1187,652,1080,531,946,2407,2080,2970,881,559,3241,2901,1715,1,9808,1276
KR202-1682,2485,3405,3298,2719,913,2152,1031,1867,1747,524,1682,920,1578,3,7146,1156
KR202-1683,664,3269,1570,2284,1583,3757,3191,545,1083,3893,1113,2993,658,1,13668,1065
KR202-1684,3534,3128,606,904,1043,3050,1002,1320,2349,2602,3895,922,1841,3,6341,1069
KR202-1685,1287,1478,2791,3112,898,1567,3615,3995,3993,2916,2001,1462,1216,1,6425,1649
KR202-1686,1583,3820,2167,714,1261,3253,2207,2028,3568,639,3128,3812,1747,5,14468,1080
KR202-1687,1320,1123,1880,3246,646,3295,2006,1373,2716,1346,1679,1122,910,2,8116,736
KR202-1688,744,1491,3649,542,942,1073,809,793,774,3648,1251,3289,1635,2,10479,1468
KR202-1689,3635,3216,1588,593,655,502,2827,3925,520,2975,2777,857,942,1,12787,1268
KR202-1690,1292,3441,3400,2694,2445,2441,3301,521,3514,1404,852,3032,1892,2,7661,520
KR202-1691,2005,2308,3248,2505,2333,1936,2259,3335,2650,2792,827,3667,1597,1,11107,2349
KR202-1692,3267,972,925,2068,3528,2687,1112,516,1593,2933,3383,3566,1959,5,14729,685
KR202-1693,1290,3553,1640,1020,1769,2935,2499,2614,1811,3250,1422,2490,1906,3,8983,1828
KR202-1694,3167,824,1093,1589,1247,3104,1589,509,2328,2684,2298,992,911,5,8709,1779
KR202-1695,2657,3835,2805,1845,3227,1714,1743,1908,1881,630,857,1853,751,4,2851,562
KR202-1696,2032,1660,2080,2025,2208,3722,1895,3422,2347,3426,1891,3571,1469,3,6731,823
KR202-1697,837,2698,2215,2132,2863,3651,1042,2101,3671,2069,3591,969,747,2,1549,2046
KR202-1698,1458,3306,2725,2603,1633,2603,1475,2514,3929,759,3742,3286,784,2,14040,2614
KR202-1699,3678,1566,3406,2431,1317,3235,683,3229,2565,897,920,2213,1587,4,6735,1706
KR202-1700,534,1979,559,2552,3972,3837,3321,1281,2060,2333,3046,1586,1820,4,3753,2306
KR202-1701,2318,1203,3921,3820,2925,2463,2968,2802,1090,1910,3362,640,938,4,2415,528
KR202-1702,1752,1227,2598,3189,3878,886,804,3435,2831,2348,996,3787,1327,4,10020,2293
KR202-1703,1590,3125,2233,573,2444,3617,829,3846,2759,3211,2930,3169,534,4,5331,1858
